Time [s];Position [°];Current [A];Voltage [V];;;;;;
0,224;190,283;0,000;0,000;;;;;;
0,225;190,195;0,000;-0,004;;;;;;
0,226;190,195;0,000;-0,004;;;;;;
0,227;190,283;0,000;0,004;;;;;;
0,228;190,283;0,000;0,004;;;;;;
0,229;190,283;0,000;0,000;;;;;;
0,23;190,283;0,000;0,000;;;;;;
0,231;190,195;0,000;0,000;;;;;;
0,232;190,195;0,000;0,000;;;;;;
0,233;190,195;0,000;0,000;;;;;;
0,234;190,195;0,000;0,000;;;;;;
0,235;190,195;0,000;0,000;;;;;;
0,236;190,195;0,000;0,000;;;;;;
0,237;190,283;0,000;0,000;;;;;;
0,238;190,283;0,000;0,000;;;;;;
0,239;190,283;0,000;-0,004;;;;;;
0,24;190,283;0,000;-0,004;;;;;;
0,241;190,283;0,000;-0,004;;;;;;
0,242;190,283;0,000;-0,004;;;;;;
0,243;190,283;0,000;0,004;;;;;;
0,244;190,283;0,000;0,004;;;;;;
0,245;190,195;0,000;-0,004;;;;;;
0,246;190,195;0,000;-0,004;;;;;;
0,247;190,195;0,000;-0,004;;;;;;
0,248;190,195;0,000;-0,004;;;;;;
0,249;190,195;0,000;0,000;;;;;;
0,25;190,195;0,000;0,000;;;;;;
0,251;190,195;0,000;-0,004;;;;;;
0,252;190,195;0,000;-0,004;;;;;;
0,253;190,195;0,000;0,000;;;;;;
0,254;190,195;0,000;0,000;;;;;;
0,255;190,195;0,000;0,004;;;;;;
0,256;190,195;0,000;0,004;;;;;;
0,257;190,195;0,000;-0,004;;;;;;
0,258;190,195;0,000;-0,004;;;;;;
0,259;190,195;0,000;0,000;;;;;;
0,26;190,195;0,000;0,000;;;;;;
0,261;190,283;0,000;-0,004;;;;;;
0,262;190,283;0,000;-0,004;;;;;;
0,263;190,283;0,000;-0,004;;;;;;
0,264;190,283;0,000;-0,004;;;;;;
0,265;190,283;0,000;0,000;;;;;;
0,266;190,283;0,000;0,000;;;;;;
0,267;190,283;0,000;0,004;;;;;;
0,268;190,283;0,000;0,004;;;;;;
0,269;190,283;0,000;0,000;;;;;;
0,27;190,283;0,000;0,000;;;;;;
0,271;190,283;0,000;0,000;;;;;;
0,272;190,283;0,000;0,000;;;;;;
0,273;190,283;0,000;-0,004;;;;;;
0,274;190,283;0,000;-0,004;;;;;;
0,275;190,283;0,000;0,000;;;;;;
0,276;190,283;0,000;0,000;;;;;;
0,277;190,195;0,000;0,000;;;;;;
0,278;190,195;0,000;0,000;;;;;;
0,279;190,195;0,000;0,000;;;;;;
0,28;190,195;0,000;0,000;;;;;;
0,281;190,195;0,000;-0,004;;;;;;
0,282;190,195;0,000;-0,004;;;;;;
0,283;190,283;0,000;0,004;;;;;;
0,284;190,283;0,000;0,004;;;;;;
0,285;190,283;0,000;-0,004;;;;;;
0,286;190,283;0,000;-0,004;;;;;;
0,287;190,283;0,000;0,000;;;;;;
0,288;190,283;0,000;0,000;;;;;;
0,289;190,283;0,000;-0,004;;;;;;
0,29;190,283;0,000;-0,004;;;;;;
0,291;190,283;0,000;0,000;;;;;;
0,292;190,283;0,000;0,000;;;;;;
0,293;190,195;0,000;0,000;;;;;;
0,294;190,195;0,000;0,000;;;;;;
0,295;190,195;0,000;-0,004;;;;;;
0,296;190,195;0,000;-0,004;;;;;;
0,297;190,283;0,000;0,000;;;;;;
0,298;190,283;0,000;0,000;;;;;;
0,299;190,195;0,000;0,000;;;;;;
0,3;190,195;0,000;0,000;;;;;;
0,301;190,195;0,000;0,000;;;;;;
0,302;190,195;0,000;0,000;;;;;;
0,303;190,195;0,000;-0,004;;;;;;
0,304;190,195;0,000;-0,004;;;;;;
0,305;190,195;0,000;0,000;;;;;;
0,306;190,195;0,000;0,000;;;;;;
0,307;190,195;0,000;-0,004;;;;;;
0,308;190,195;0,000;-0,004;;;;;;
0,309;190,283;0,000;0,000;;;;;;
0,31;190,283;0,000;0,000;;;;;;
0,311;190,283;0,000;0,004;;;;;;
0,312;190,283;0,000;0,004;;;;;;
0,313;190,283;0,000;0,004;;;;;;
0,314;190,283;0,000;0,004;;;;;;
0,315;190,283;0,000;0,000;;;;;;
0,316;190,283;0,000;0,000;;;;;;
0,317;190,283;0,000;0,000;;;;;;
0,318;190,283;0,000;0,000;;;;;;
0,319;190,283;0,000;0,000;;;;;;
0,32;190,283;0,000;0,000;;;;;;
0,321;190,283;0,000;0,000;;;;;;
0,322;190,283;0,000;0,000;;;;;;
0,323;190,283;0,000;0,000;;;;;;
0,324;190,283;0,000;0,000;;;;;;
0,325;190,283;0,000;0,004;;;;;;
0,326;190,283;0,000;0,004;;;;;;
0,327;190,283;0,000;0,004;;;;;;
0,328;190,283;0,000;0,004;;;;;;
0,329;190,195;0,000;0,000;;;;;;
0,33;190,195;0,000;0,000;;;;;;
0,331;190,283;0,000;0,000;;;;;;
0,332;190,283;0,000;0,000;;;;;;
0,333;190,283;0,000;0,000;;;;;;
0,334;190,283;0,000;0,000;;;;;;
0,335;190,283;0,000;0,000;;;;;;
0,336;190,283;0,000;0,000;;;;;;
0,337;190,283;0,000;0,000;;;;;;
0,338;190,283;0,000;0,000;;;;;;
0,339;190,195;0,000;-0,004;;;;;;
0,34;190,195;0,000;-0,004;;;;;;
0,341;190,283;0,000;0,004;;;;;;
0,342;190,283;0,000;0,004;;;;;;
0,343;190,195;0,000;0,000;;;;;;
0,344;190,195;0,000;0,000;;;;;;
0,345;190,195;0,000;0,000;;;;;;
0,346;190,195;0,000;0,000;;;;;;
0,347;190,283;0,000;-0,004;;;;;;
0,348;190,283;0,000;-0,004;;;;;;
0,349;190,195;0,000;0,000;;;;;;
0,35;190,195;0,000;0,000;;;;;;
0,351;190,195;0,000;0,004;;;;;;
0,352;190,195;0,000;0,004;;;;;;
0,353;190,195;0,000;0,008;;;;;;
0,354;190,195;0,000;0,008;;;;;;
0,355;190,195;0,000;0,004;;;;;;
0,356;190,195;0,000;0,004;;;;;;
0,357;190,283;0,000;0,004;;;;;;
0,358;190,283;0,000;0,004;;;;;;
0,359;190,195;0,000;0,000;;;;;;
0,36;190,195;0,000;0,000;;;;;;
0,361;190,283;0,000;-0,004;;;;;;
0,362;190,283;0,000;-0,004;;;;;;
0,363;190,283;0,000;-0,004;;;;;;
0,364;190,283;0,000;-0,004;;;;;;
0,365;190,283;0,000;-0,004;;;;;;
0,366;190,283;0,000;-0,004;;;;;;
0,367;190,283;0,000;0,000;;;;;;
0,368;190,283;0,000;0,000;;;;;;
0,369;190,283;0,000;0,000;;;;;;
0,37;190,283;0,000;0,000;;;;;;
0,371;190,195;0,000;0,004;;;;;;
0,372;190,195;0,000;0,004;;;;;;
0,373;190,283;0,000;0,000;;;;;;
0,374;190,283;0,000;0,000;;;;;;
0,375;190,283;0,000;0,000;;;;;;
0,376;190,283;0,000;0,000;;;;;;
0,377;190,283;0,000;-0,004;;;;;;
0,378;190,283;0,000;-0,004;;;;;;
0,379;190,283;0,000;0,000;;;;;;
0,38;190,283;0,000;0,000;;;;;;
0,381;190,283;0,000;0,000;;;;;;
0,382;190,283;0,000;0,000;;;;;;
0,383;190,195;0,000;0,000;;;;;;
0,384;190,195;0,000;0,000;;;;;;
0,385;190,283;0,000;0,004;;;;;;
0,386;190,283;0,000;0,004;;;;;;
0,387;190,283;0,000;0,004;;;;;;
0,388;190,283;0,000;0,004;;;;;;
0,389;190,195;0,000;0,000;;;;;;
0,39;190,195;0,000;0,000;;;;;;
0,391;190,195;0,000;0,000;;;;;;
0,392;190,195;0,000;0,000;;;;;;
0,393;190,283;0,000;0,000;;;;;;
0,394;190,283;0,000;0,000;;;;;;
0,395;190,195;0,000;0,004;;;;;;
0,396;190,195;0,000;0,004;;;;;;
0,397;190,195;0,000;0,004;;;;;;
0,398;190,195;0,000;0,004;;;;;;
0,399;190,195;0,000;0,004;;;;;;
0,4;190,195;0,000;0,004;;;;;;
0,401;190,195;0,000;0,004;;;;;;
0,402;190,195;0,000;0,004;;;;;;
0,403;190,195;0,000;0,004;;;;;;
0,404;190,195;0,000;0,004;;;;;;
0,405;190,195;0,000;-0,004;;;;;;
0,406;190,195;0,000;-0,004;;;;;;
0,407;190,283;0,000;0,000;;;;;;
0,408;190,283;0,000;0,000;;;;;;
0,409;190,283;0,000;0,000;;;;;;
0,41;190,283;0,000;0,000;;;;;;
0,411;190,283;0,000;0,000;;;;;;
0,412;190,283;0,000;0,000;;;;;;
0,413;190,283;0,000;0,004;;;;;;
0,414;190,283;0,000;0,004;;;;;;
0,415;190,283;0,000;0,004;;;;;;
0,416;190,283;0,000;0,004;;;;;;
0,417;190,283;0,000;0,008;;;;;;
0,418;190,283;0,000;0,008;;;;;;
0,419;190,283;0,000;0,000;;;;;;
0,42;190,283;0,000;0,000;;;;;;
0,421;190,283;0,000;-0,004;;;;;;
0,422;190,283;0,000;-0,004;;;;;;
0,423;190,195;0,000;-0,004;;;;;;
0,424;190,195;0,000;-0,004;;;;;;
0,425;190,283;0,000;0,004;;;;;;
0,426;190,283;0,000;0,004;;;;;;
0,427;190,195;0,000;0,000;;;;;;
0,428;190,195;0,000;0,000;;;;;;
0,429;190,283;0,000;0,000;;;;;;
0,43;190,283;0,000;0,000;;;;;;
0,431;190,195;0,000;0,000;;;;;;
0,432;190,195;0,000;0,000;;;;;;
0,433;190,195;0,000;-0,004;;;;;;
0,434;190,195;0,000;-0,004;;;;;;
0,435;190,283;0,000;0,000;;;;;;
0,436;190,283;0,000;0,000;;;;;;
0,437;190,283;0,000;0,000;;;;;;
0,438;190,283;0,000;0,000;;;;;;
0,439;190,283;0,000;0,000;;;;;;
0,44;190,283;0,000;0,000;;;;;;
0,441;190,283;0,000;0,000;;;;;;
