timestamp_Angle_DEG;Angle_DEG;Current_A;Voltage_V
1701901054180;330,99609375;0,093658447265625;-0,7120000123977661
1701901054181;330,99609375;0,0889892578125;-1,4240000247955322
1701901054182;330,99609375;0,089630126953125;-0,6000000238418579
1701901054183;330,99609375;0,0898590087890625;-0,5959999561309814
1701901054184;330,99609375;0,095489501953125;-0,5680000185966492
1701901054185;330,99609375;0,12506103515625;-0,6279999613761902
1701901054187;330,99609375;0,083587646484375;0,7280000448226929
1701901054188;330,99609375;0,083587646484375;-0,8759999871253967
1701901054189;330,99609375;0,067657470703125;-0,8840000033378601
1701901054189;330,99609375;0,0677490234375;-0,8759999871253967
1701901054190;330,99609375;0,0640869140625;-0,8759999871253967
1701901054191;330,99609375;0,03753662109375;-0,8759999871253967
1701901054192;330,99609375;0,029571533203125;-0,7720000147819519
1701901054193;330,99609375;0,0853729248046875;-0,8240000009536743
1701901054194;330,99609375;0,0853729248046875;-1,4479999542236328
1701901054195;330,99609375;0,0931549072265625;-0,5720000863075256
1701901054196;330,99609375;0,0942535400390625;-0,5640000104904175
1701901054197;330,99609375;0,0940704345703125;-0,5600000619888306
1701901054198;330,99609375;0,1067047119140625;-0,6640000343322754
1701901054199;330,99609375;0,15234375;-0,527999997138977
1701901054200;330,99609375;0,15234375;0,7160000205039978
1701901054201;330,99609375;0,1058807373046875;0,19999998807907104
1701901054202;330,99609375;0,07122802734375;-0,8840000033378601
1701901054203;330,99609375;0,0618438720703125;-0,8360000252723694
1701901054204;330,99609375;0,028564453125;-0,7440000176429749
1701901054205;330,99609375;0,0178070068359375;-0,7440000176429749
1701901054206;330,99609375;0,0682525634765625;-1,055999994277954
1701901054207;330,99609375;0,0980072021484375;-1,444000005722046
1701901054208;330,99609375;0,098602294921875;-0,5839999318122864
1701901054209;330,99609375;0,1002044677734375;-0,5920000076293945
1701901054210;330,99609375;0,120849609375;-0,6039999723434448
1701901054211;330,99609375;0,15380859375;-0,6200000643730164
1701901054212;330,99609375;0,126068115234375;0,09599995613098145
1701901054213;330,99609375;0,126068115234375;0,6119999885559082
1701901054214;330,99609375;0,0750274658203125;1,0119999647140503
1701901054215;330,99609375;0,0740203857421875;-0,8840000033378601
1701901054216;330,99609375;0,0560760498046875;-0,8040000200271606
1701901054217;330,99609375;0,017578125;-0,7200000286102295
1701901054218;330,99609375;0,0104827880859375;-1,2799999713897705
1701901054219;330,99609375;0,0546112060546875;-1,2799999713897705
1701901054220;330,99609375;0,0984649658203125;-1,4520000219345093
1701901054221;330,99609375;0,102081298828125;-1,2039999961853027
1701901054222;330,99609375;0,1068878173828125;-0,6159999370574951
1701901054223;330,99609375;0,135498046875;-0,6520000100135803
1701901054224;330,99609375;0,17156982421875;-0,715999960899353
1701901054225;330,99609375;0,1442413330078125;0,21600008010864258
1701901054226;330,99609375;0,0856475830078125;0,9119999408721924
1701901054227;330,99609375;0,0765838623046875;0,9119999408721924
1701901054228;330,99609375;0,0736083984375;-0,8840000033378601
1701901054229;330,99609375;0,0483856201171875;-0,7720000147819519
1701901054230;330,99609375;0,0091552734375;-0,699999988079071
1701901054231;330,99609375;0,0047607421875;-1,4320000410079956
1701901054232;330,99609375;0,0412445068359375;-1,4600000381469727
1701901054233;330,99609375;0,1011199951171875;-1,4600000381469727
1701901054234;330,99609375;0,1170501708984375;-1,4559999704360962
1701901054235;330,99609375;0,11700439453125;-0,5840000510215759
1701901054236;330,99609375;0,151519775390625;-0,6760000586509705
1701901054237;330,99609375;0,1844329833984375;-0,7480000257492065
1701901054238;330,99609375;0,16204833984375;0,2759999632835388
1701901054239;330,99609375;0,108856201171875;0,8360000252723694
1701901054240;330,99609375;0,0795135498046875;-0,35600000619888306
1701901054241;330,99609375;0,07122802734375;-0,8399999737739563
1701901054242;330,99609375;0,0395965576171875;-0,8240000009536743
1701901054243;330,99609375;0,002655029296875;-0,8240000009536743
1701901054244;330,99609375;0,0018310546875;-1,4759999513626099
1701901054245;330,99609375;0,0295257568359375;-1,4479999542236328
1701901054246;330,99609375;0,08642578125;-1,440000057220459
1701901054247;330,99609375;0,1290435791015625;-1,440000057220459
1701901054248;330,99609375;0,167816162109375;-0,5920000076293945
1701901054249;330,99609375;0,1678619384765625;-0,7200000286102295
1701901054250;330,99609375;0,1907958984375;-0,7400000691413879
1701901054251;330,99609375;0,1749114990234375;0,2639999985694885
1701901054252;330,99609375;0,1286773681640625;0,7479999661445618
1701901054253;330,99609375;0,0816650390625;1,1040000915527344
1701901054254;330,99609375;0,0646820068359375;-0,8159999847412109
1701901054255;330,99609375;0,0284271240234375;-0,7239999771118164
1701901054256;330,99609375;0,000274658203125;-1,0720000267028809
1701901054257;330,99609375;0,0003204345703125;-1,444000005722046
1701901054258;330,99609375;0,0201873779296875;-1,444000005722046
1701901054259;330,99609375;0,075439453125;-1,4639999866485596
1701901054260;330,99609375;0,14263916015625;-1,5199999809265137
1701901054261;330,99609375;0,187591552734375;-0,8519999980926514
1701901054262;330,99609375;0,200775146484375;-0,7719999551773071
1701901054263;330,99609375;0,2009124755859375;-0,5040000677108765
1701901054264;330,99609375;0,19171142578125;0,13599997758865356
1701901054265;330,99609375;0,1501922607421875;0,6480000019073486
1701901054266;330,99609375;0,08642578125;1,0720000267028809
1701901054267;330,99609375;0,0589599609375;-0,7760000228881836
1701901054268;330,99609375;0,016845703125;-0,699999988079071
1701901054269;330,99609375;0,000091552734375;-1,2879999876022339
1701901054270;330,99609375;0,0127716064453125;-1,4520000219345093
1701901054271;330,99609375;0,05841064453125;-1,4839999675750732
1701901054272;330,99609375;0,068206787109375;-1,4839999675750732
1701901054273;330,99609375;0,1615447998046875;-1,5839999914169312
1701901054274;330,99609375;0,2041168212890625;-1,6519999504089355
1701901054275;330,99609375;0,208831787109375;-0,8119999766349792
1701901054276;330,99609375;0,2087860107421875;-0,2919999957084656
1701901054277;330,99609375;0,2048492431640625;0
1701901054278;330,99609375;0,1708831787109375;0,5359999537467957
1701901054279;330,99609375;0,103179931640625;1,0160000324249268
1701901054280;330,99609375;0,04925537109375;-0,7480000257492065
1701901054281;330,99609375;0,008148193359375;-0,6800000071525574
1701901054282;330,99609375;0,0000457763671875;-1,472000002861023
1701901054283;330,99609375;0,006866455078125;-1,4880000352859497
1701901054284;330,99609375;0,0461883544921875;-1,4600000381469727
1701901054285;330,99609375;0,1279449462890625;-1,4800000190734863
1701901054286;330,99609375;0,1815948486328125;-1,5839999914169312
1701901054287;330,99609375;0,2147369384765625;-1,659999966621399
1701901054288;330,99609375;0,2162933349609375;-0,07600003480911255
1701901054289;330,99609375;0,2166595458984375;-0,07999998331069946
1701901054290;330,99609375;0,214874267578125;0
1701901054291;330,99609375;0,187591552734375;0,4399999976158142
1701901054292;330,99609375;0,114715576171875;0,9760000109672546
1701901054293;330,99609375;0,0387725830078125;0,7400000095367432
1701901054294;330,99609375;0,002105712890625;-0,8920000195503235
1701901054295;330,99609375;0,000091552734375;-1,4800000190734863
1701901054296;330,99609375;0,003204345703125;-1,4639999866485596
1701901054297;330,99609375;0,0388641357421875;-1,4639999866485596
1701901054298;330,99609375;0,1239166259765625;-1,527999997138977
1701901054299;330,99609375;0,198760986328125;-1,6160000562667847
1701901054300;330,99609375;0,2206878662109375;-0,7239999771118164
1701901054301;330,99609375;0,2205963134765625;-0,016000032424926758
1701901054302;330,99609375;0,2220611572265625;-0,02399998903274536
1701901054303;330,99609375;0,2200469970703125;0
1701901054304;330,99609375;0,176971435546875;0,32799994945526123
1701901054305;330,99609375;0,1263427734375;0,9200000166893005
1701901054306;330,99609375;0,0275115966796875;1,3960000276565552
1701901054307;330,99609375;-0,0000457763671875;-1,1440000534057617
1701901054308;330,99609375;0,0002288818359375;-1,468000054359436
1701901054309;330,99609375;0,000274658203125;-1,4800000190734863
1701901054310;330,99609375;0,0368499755859375;-1,5080000162124634
1701901054311;330,99609375;0,1266632080078125;-1,6119999885559082
1701901054312;330,99609375;0,2195892333984375;-1,656000018119812
1701901054313;330,99609375;0,23455810546875;-1,3240000009536743
1701901054314;330,99609375;0,234375;-0,04799997806549072
1701901054315;330,99609375;0,2351531982421875;-0,05199998617172241
1701901054316;330,99609375;0,2273712158203125;0,015999972820281982
1701901054317;330,99609375;0,1826019287109375;0,23600006103515625
1701901054318;330,99609375;0,0908660888671875;0,843999981880188
1701901054319;330,99609375;0,0234375;1,3199999332427979
1701901054320;330,99609375;0,0001373291015625;-1,3760000467300415
1701901054321;330,99609375;0,0000457763671875;-1,5119999647140503
1701901054322;330,99609375;0,000091552734375;-1,468000054359436
1701901054323;330,99609375;0,0373077392578125;-1,5080000162124634
1701901054324;330,99609375;0,12725830078125;-1,6119999885559082
1701901054325;330,99609375;0,234832763671875;-1,684000015258789
1701901054326;330,99609375;0,2423858642578125;-1,0920000076293945
1701901054327;330,99609375;0,2422943115234375;-0,03200000524520874
1701901054328;330,99609375;0,243988037109375;-0,016000032424926758
1701901054329;330,99609375;0,220184326171875;0,15599995851516724
1701901054330;330,99609375;0,1425933837890625;0,2399999499320984
1701901054331;330,99609375;0,0998382568359375;0,7760000228881836
1701901054332;330,99609375;0,0307159423828125;1,2039999961853027
1701901054333;330,99609375;0,0004119873046875;-0,956000030040741
1701901054334;330,99609375;0,0002288818359375;-1,5199999809265137
1701901054335;330,99609375;0,0040283203125;-1,5160000324249268
1701901054336;330,99609375;0,0413360595703125;-1,5800000429153442
1701901054337;330,99609375;0,1282196044921875;-1,6399999856948853
1701901054338;330,99609375;0,2237091064453125;-1,7039999961853027
1701901054339;330,99609375;0,24755859375;-0,9079999923706055
1701901054340;330,99609375;0,2470550537109375;-0,008000016212463379
1701901054341;330,99609375;0,2459564208984375;-0,019999980926513672
1701901054342;330,99609375;0,219818115234375;0,10399997234344482
1701901054343;330,99609375;0,1475830078125;0,6839999556541443
1701901054344;330,99609375;0,053009033203125;0,85999995470047
1701901054345;330,99609375;0,051727294921875;0,85999995470047
1701901054346;330,99609375;0,000823974609375;0,720000147819519
1701901054347;330,99609375;0,0000457763671875;-1,4839999675750732
1701901054348;330,99609375;0,009246826171875;-1,4839999675750732
1701901054349;330,99609375;0,0467376708984375;-1,6160000562667847
1701901054350;330,99609375;0,1276702880859375;-1,656000018119812
1701901054351;330,99609375;0,2044830322265625;-1,5240000486373901
1701901054352;330,99609375;0,25030517578125;-0,8600000143051147
1701901054353;330,99609375;0,251861572265625;-0,31599998474121094
1701901054354;330,99609375;0,24755859375;-0,019999980926513672
1701901054355;330,99609375;0,218719482421875;0,11599999666213989
1701901054356;330,99609375;0,1496429443359375;0,5719999670982361
1701901054357;330,99609375;0,07269287109375;0,531999945640564
